"LST_DATE","LST_TIME","T_MAX","P_CALC"
20170109,1500,-1.8,0
20170109,1600,-1.5,0
20170109,1700,-1.6,0
20170109,1800,-2.1,0
20170109,1900,-3.4,0
20170109,2000,-4.4,0
20170109,2100,-5.1,0
20170109,2200,-6.9,0
20170109,2300,-7.6,0
20170110,0,-7.2,0
20170110,100,-5.6,0
20170110,200,-5.4,0
20170110,300,-5.2,0
20170110,400,-4.9,0
20170110,500,-4.6,0
20170110,600,-4.9,0
20170110,700,-5.1,0
20170110,800,-6.1,0
20170110,900,-4.5,0
20170110,1000,-1.2,0
20170110,1100,1,0
20170110,1200,3.9,0
20170110,1300,6.3,0
20170110,1400,8.3,0
20170110,1500,9,0
20170110,1600,8.3,0
20170110,1700,8,0
20170110,1800,7.3,0
20170110,1900,4.2,0
20170110,2000,4.1,0
20170110,2100,4.1,0
20170110,2200,4,0
20170110,2300,4.1,0
20170111,0,5,0
20170111,100,5.6,0
20170111,200,6.1,0
20170111,300,6,0
20170111,400,5.5,0
20170111,500,5.8,0
20170111,600,5.7,0
20170111,700,5,0
20170111,800,4.1,0
20170111,900,6.1,0
20170111,1000,8.9,0
20170111,1100,9.1,0
20170111,1200,10.1,0
20170111,1300,12,0
20170111,1400,12.1,0
20170111,1500,11.8,0
20170111,1600,11.7,0
20170111,1700,11.5,0
20170111,1800,10.7,0
20170111,1900,10.7,0
20170111,2000,10,0
20170111,2100,8.9,0
20170111,2200,9.5,0
20170111,2300,11.5,0
20170112,0,12.2,0
20170112,100,12.5,0
20170112,200,12.4,0
20170112,300,12.4,0
20170112,400,12.2,0
20170112,500,12.1,0
20170112,600,12.2,0
20170112,700,12.2,0
20170112,800,11.7,0
20170112,900,13.3,0
20170112,1000,15.5,0
20170112,1100,17.7,0
20170112,1200,20.1,0
20170112,1300,21,0
20170112,1400,20.9,0
20170112,1500,20.8,0
20170112,1600,21,0
20170112,1700,20.2,0
20170112,1800,19.3,0
20170112,1900,17.8,0
20170112,2000,16.3,0
20170112,2100,15.6,0
20170112,2200,15.4,0
20170112,2300,14.5,0
20170113,0,14.6,0
20170113,100,14.5,0
20170113,200,14,0
20170113,300,13.9,0
20170113,400,13.5,0
20170113,500,12.7,0
20170113,600,12.8,0
20170113,700,10.7,0
20170113,800,9.6,0
20170113,900,14.2,0
20170113,1000,17.6,0
20170113,1100,20.6,0
20170113,1200,22.4,0
20170113,1300,23.7,0
20170113,1400,24.4,0
20170113,1500,24,0
20170113,1600,23.7,0
20170113,1700,22.3,0
20170113,1800,20.4,0
20170113,1900,18,0
20170113,2000,17,0
20170113,2100,16,0
20170113,2200,15.4,0
20170113,2300,15.1,0
20170114,0,14.6,0
20170114,100,13.7,0
20170114,200,12.3,0
20170114,300,11.2,0
20170114,400,10.1,0
20170114,500,9.2,0
20170114,600,8.8,0
20170114,700,8.1,0
20170114,800,7.1,0
20170114,900,6.2,0
20170114,1000,6,0
20170114,1100,6.5,0
20170114,1200,7.4,0
20170114,1300,8.3,0
20170114,1400,8.3,0
20170114,1500,8.9,0
20170114,1600,9.4,0
20170114,1700,9.2,0
20170114,1800,8.9,0
20170114,1900,8.1,0
20170114,2000,6.7,0
20170114,2100,5.7,0
20170114,2200,6,0
20170114,2300,6.2,0
20170115,0,6.4,0
20170115,100,6.1,0
20170115,200,5.1,0
20170115,300,4.4,0
20170115,400,6.6,0
20170115,500,7.2,0
20170115,600,7.3,0
20170115,700,8.4,0
20170115,800,8.2,0
20170115,900,9.1,0
20170115,1000,9.4,0
20170115,1100,9.8,0
20170115,1200,11.5,0
20170115,1300,12.7,0
20170115,1400,13.4,0
20170115,1500,13.5,0
20170115,1600,13.4,0
20170115,1700,12.9,0
20170115,1800,11.6,0
20170115,1900,11,0
20170115,2000,10,0
20170115,2100,9.6,1.4
20170115,2200,7.7,0
20170115,2300,7.6,0
20170116,0,7.5,0
20170116,100,7.6,0
20170116,200,7.6,0
20170116,300,7.5,0
20170116,400,7.4,0
20170116,500,7.1,0
20170116,600,7,0
20170116,700,6.9,0
20170116,800,6.6,0
20170116,900,6.3,0
20170116,1000,6.7,0
20170116,1100,7.6,0
20170116,1200,8.2,0
20170116,1300,9.2,0
20170116,1400,10.1,0
20170116,1500,10.3,0
20170116,1600,10.2,0
20170116,1700,10.1,0
20170116,1800,9.4,0
20170116,1900,8.9,0
20170116,2000,8.6,0
20170116,2100,8.5,0
20170116,2200,8.4,0
20170116,2300,7.4,0
20170117,0,7,0
20170117,100,6.8,0
20170117,200,7.1,0
20170117,300,7.6,0
20170117,400,7.9,0
20170117,500,8,0
20170117,600,8.1,0
20170117,700,8.1,0
20170117,800,8.7,0
20170117,900,9.6,0
20170117,1000,10.6,0
20170117,1100,11.8,0
20170117,1200,12.9,0
20170117,1300,14.7,0
20170117,1400,16.9,0
20170117,1500,16,0
20170117,1600,15.7,0.8
20170117,1700,14.2,0.3
20170117,1800,14,0.5
20170117,1900,14.2,0
20170117,2000,14.4,0
20170117,2100,14.9,0
20170117,2200,15.2,0
20170117,2300,15.2,0
20170118,0,15.7,0
20170118,100,16.3,0
20170118,200,17,0
20170118,300,17.3,0
20170118,400,17.3,0
20170118,500,17.1,0
20170118,600,16.8,0
20170118,700,15.3,0
20170118,800,14.3,0
20170118,900,16.3,0
20170118,1000,17.7,0
20170118,1100,18.8,0
20170118,1200,19.1,0
20170118,1300,19.5,0
20170118,1400,19.2,0
20170118,1500,19.3,0
20170118,1600,18.9,0
20170118,1700,18.3,0
20170118,1800,16.5,0
20170118,1900,14.3,0
20170118,2000,12.9,0
20170118,2100,12,0
20170118,2200,10.9,0
20170118,2300,9.9,0
20170119,0,8.9,0
20170119,100,6.6,0
20170119,200,6.1,0
20170119,300,5.6,0
20170119,400,4.6,0
20170119,500,5.2,0
20170119,600,5.2,0
20170119,700,4.7,0
20170119,800,3.7,0
20170119,900,6.6,0
